"","Vertex1","Vertex2"
"4661","rick springfield","jesse colin young"
"4662","honeymoon suite","stephen stills"
"4663","quarterflash","chris hillman"
"4664","red rider","new riders of the purple sage"
"4665","platinum blonde","jefferson starship"
"4666","gowan","orleans"
"4667","tom cochrane","little river band"
"4668","pablo cruise","rick springfield"
"4669","pure prairie league","pat benatar"
"4670","paul davis","daryl hall & john oates"
"4671","the ozark mountain daredevils","the romantics"
"4672","nicolette larson","corey hart"
"4673","player","robert palmer"
"4674","stephen bishop","the cars"
"4675","dave mason","billy squier"
"4676","seals and crofts","fine young cannibals"
"4677","firefall","level 42"
"4678","loggins & messina","the power station"
"4679","art garfunkel","huey lewis & the news"
"4680","david gates","howard jones"
"4681","ambrosia","abc"
"4682","harry chapin","the romantics"
"4683","jd souther","joe jackson"
"4684","bread","nik kershaw"
"4685","rita coolidge","bryan ferry"
"4686","captain & tennille","thompson twins"
"4687","robbie dupree","john parr"
"4688","nicolette larson","rick springfield"
"4689","bertie higgins","john waite"
"4690","bob welch","honeymoon suite"
"4691","christopher cross","quarterflash"
"4692","little river band","red rider"
"4693","england dan & john ford coley","platinum blonde"
"4694","melissa manchester","starship"
"4695","captain & tennille","wang chung"
"4696","gary wright","gowan"
"4697","dan fogelberg","benjamin orr"
"4698","robert john","huey lewis & the news"
"4699","david gates","tom cochrane"
"4700","steve winwood","firefall"
"4701","john mellencamp","pablo cruise"
"4702","jackson browne","england dan & john ford coley"
"4703","little river band","art garfunkel"
"4704","mr. mister","harry chapin"
"4705","joe walsh","jd souther"
"4706","loverboy","bread"
"4707","firefall","rita coolidge"
"4708","mike + the mechanics","captain & tennille"
"4709","the doobie brothers","melissa manchester"
"4710","glenn frey","player"
"4711","eddie money","orleans"
"4712","ambrosia","christopher cross"
"4713","38 special","captain & tennille"
"4714","glass tiger","gary wright"
"4715","atlanta rhythm section","robert john"
"4716","christopher cross","david gates"
"4717","shawn mullins","glenn frey"
"4718","bruce hornsby","steve winwood"
"4719","joan osborne","huey lewis & the news"
"4720","james taylor","jefferson starship"
"4721","melissa etheridge","john mellencamp"
"4722","joshua kadison","jackson browne"
"4723","bonnie raitt","rick springfield"
"4724","shawn colvin","little river band"
"4725","natalie merchant","38 special"
"4726","jennifer warnes","the j. geils band"
"4727","amanda marshall","mr. mister"
"4728","carole king","joe walsh"
"4729","tracy chapman","loverboy"
"4730","van morrison","steve perry"
"4731","bruce springsteen","firefall"
"4732","billy joel","mike + the mechanics"
"4733","carly simon","the doobie brothers"
"4734","mr. mister","bruce hornsby"
"4735","steve perry","robert palmer"
"4736","eric carmen","jefferson starship"
"4737","glass tiger","mr. mister"
"4738","peter cetera","ambrosia"
"4739","paul carrack","boz scaggs"
"4740","daryl hall","rick springfield"
"4741","starship","jackson browne"
"4742","john waite","38 special"
"4743","lou gramm","glass tiger"
"4744","christopher cross","wang chung"
"4745","sheena easton","atlanta rhythm section"
"4746","cutting crew","shawn mullins"
"4747","john parr","jackson browne"
"4748","wang chung","james taylor"
"4749","john waite","melissa etheridge"
"4750","go west","joshua kadison"
"4751","glenn frey","shawn colvin"
"4752","rick springfield","natalie merchant"
"4753","glass tiger","sheryl crow"
"4754","richard marx","jennifer warnes"
"4755","steve perry","amanda marshall"
"4756","the power station","carole king"
"4757","lou gramm","tracy chapman"
"4758","paul young","van morrison"
"4759","huey lewis & the news","bruce springsteen"
"4760","kim carnes","billy joel"
"4761","nik kershaw","carly simon"
"4762","paul carrack","cutting crew"
"4763","johnny hates jazz","paul davis"
"4764","robert palmer","eric carmen"
"4765","level 42","glass tiger"
"4766","the hooters","peter cetera"
"4767","chris de burgh","daryl hall"
"4768","cock robin","starship"
"4769","go west","john waite"
"4770","fine young cannibals","christopher cross"
"4771","bruce hornsby","sheena easton"
"4772","james taylor","cutting crew"
"4773","crosby, stills & nash","corey hart"
"4774","poco","john parr"
"4775","warren zevon","wang chung"
"4776","dan fogelberg","john waite"
"4777","jim croce","go west"
"4778","firefall","glass tiger"
"4779","dave mason","richard marx"
"4780","bruce hornsby","the power station"
"4781","jefferson starship","huey lewis & the news"
"4782","little river band","kim carnes"
"4783","stephen stills","nik kershaw"
"4784","christine mcvie","mr. mister"
"4785","pete townshend","cutting crew"
"4786","warren zevon","paul carrack"
"4787","glenn frey","richard marx"
"4788","don henley","johnny hates jazz"
"4789","jackson browne","robert palmer"
"4790","al stewart","level 42"
"4791","traveling wilburys","glenn frey"
"4792","jeff lynne","don henley"
"4793","julian lennon","chris de burgh"
"4794","boz scaggs","cock robin"
"4795","todd rundgren","go west"
"4796","robert plant","fine young cannibals"
"4797","pretenders","bruce hornsby"
"4798","mudcrutch","glass tiger"
"4799","lou gramm","james taylor"
"4800","john waite","crosby, stills & nash"
"4801","glass tiger","dan fogelberg"
"4802","glenn frey","jim croce"
"4803","night ranger","dave mason"
"4804","jefferson starship","bruce hornsby"
"4805","john parr","little river band"
"4806","huey lewis & the news","stephen stills"
"4807","head east","christine mcvie"
"4808","gary wright","pete townshend"
"4809","the babys","jackson browne"
"4810","eddie money","traveling wilburys"
"4811","loverboy","jeff lynne"
"4812","38 special","julian lennon"
"4813","orleans","todd rundgren"
"4814","three dog night","robert plant"
"4815","paul davis","pretenders"
"4816","bachman-turner overdrive","mudcrutch"
"4817","billy squier","john waite"
"4818","joe walsh","eddie money"
"4819","boston","cutting crew"
"4820","styx","night ranger"
"4821","heart","38 special"
"4822","sammy hagar","jefferson starship"
"4823","the babys","starship"
"4824","pat benatar","the babys"
"4825","night ranger","john parr"
"4826","john mellencamp","huey lewis & the news"
"4827","pablo cruise","gary wright"
"4828","gino vannelli","joe walsh"
"4829","dan fogelberg","loverboy"
"4830","michael mcdonald","three dog night"
"4831","donald fagen","paul davis"
"4832","bob welch","bachman-turner overdrive"
"4833","jonathan edwards","billy squier"
"4834","seals and crofts","the j. geils band"
"4835","the ozark mountain daredevils","huey lewis & the news"
"4836","harry chapin","boston"
"4837","jesse colin young","bachman-turner overdrive"
"4838","orleans","styx"
"4839","atlanta rhythm section","heart"
"4840","little river band","sammy hagar"
"4841","boz scaggs","head east"
"4842","crosby, stills & nash","john mellencamp"
"4843","jd souther","pablo cruise"
"4844","jesse colin young","dave mason"
"4845","stephen stills","atlanta rhythm section"
"4846","chris hillman","gino vannelli"
"4847","new riders of the purple sage","jefferson starship"
"4848","orleans","nicolette larson"
"4849","bob welch","michael mcdonald"
"4850","crosby, stills & nash","donald fagen"
"4851","rick springfield","pure prairie league"
"4852","don henley","jonathan edwards"
"4853","pat benatar","jd souther"
"4854","the romantics","jesse colin young"
"4855","kenny loggins","atlanta rhythm section"
"4856","the cars","bob welch"
"4857","level 42","jd souther"
"4858","wang chung","jesse colin young"
"4859","glenn frey","chris hillman"
"4860","howard jones","new riders of the purple sage"
"4861","abc","jefferson starship"
"4862","nik kershaw","pablo cruise"
"4863","thompson twins","crosby, stills & nash"
"4864","john parr","don henley"
"4865","steve perry","pat benatar"
"4866","honeymoon suite","daryl hall & john oates"
"4867","quarterflash","steve perry"
"4868","red rider","the romantics"
"4869","platinum blonde","38 special"
"4870","starship","kenny loggins"
"4871","benjamin orr","the cars"
"4872","huey lewis & the news","the j. geils band"
"4873","tom cochrane","billy squier"
"4874","pablo cruise","fine young cannibals"
"4875","orleans","level 42"
"4876","the ozark mountain daredevils","howard jones"
"4877","loggins & messina","abc"
"4878","nicolette larson","joe jackson"
"4879","player","nik kershaw"
"4880","stephen bishop","bryan ferry"
"4881","england dan & john ford coley","thompson twins"
"4882","loggins & messina","lou gramm"
"4883","stephen bishop","cutting crew"
"4884","england dan & john ford coley","steve perry"
"4885","art garfunkel","honeymoon suite"
"4886","david gates","red rider"
"4887","ambrosia","platinum blonde"
"4888","harry chapin","starship"
"4889","bread","wang chung"
"4890","rita coolidge","benjamin orr"
"4891","captain & tennille","huey lewis & the news"
"4892","melissa manchester","tom cochrane"
"4893","robbie dupree","orleans"
"4894","nicolette larson","ambrosia"
"4895","bertie higgins","poco"
"4896","england dan & john ford coley","loggins & messina"
"4897","captain & tennille","player"
"4898","gary wright","atlanta rhythm section"
"4899","dan fogelberg","stephen bishop"
"4900","robert john","england dan & john ford coley"
"4901","david gates","dave mason"
"4902","steve winwood","robbie dupree"
"4903","john mellencamp","nicolette larson"
"4904","jackson browne","orleans"
"4905","rick springfield","bertie higgins"
"4906","38 special","christopher cross"
"4907","mr. mister","melissa manchester"
"4908","loverboy","captain & tennille"
"4909","mike + the mechanics","robert john"
"4910","the doobie brothers","david gates"
"4911","mike + the mechanics","jefferson starship"
"4912","jefferson starship","john mellencamp"
"4913","jackson browne","joe walsh"
"4914","glass tiger","steve perry"
"4915","christopher cross","the doobie brothers"
"4916","james taylor","mike + the mechanics"
"4917","melissa etheridge","jefferson starship"
"4918","joshua kadison","eddie money"
"4919","shawn colvin","mr. mister"
"4920","natalie merchant","ambrosia"
"4921","sheryl crow","boz scaggs"
"4922","amanda marshall","rick springfield"
"4923","carole king","jackson browne"
"4924","tracy chapman","38 special"
"4925","van morrison","glass tiger"
"4926","bruce springsteen","wang chung"
"4927","billy joel","atlanta rhythm section"
"4928","carly simon","christopher cross"
"4929","cutting crew","jackson browne"
"4930","paul davis","james taylor"
"4931","eric carmen","melissa etheridge"
"4932","glass tiger","shawn colvin"
"4933","peter cetera","natalie merchant"
"4934","paul carrack","sheryl crow"
"4935","quarterflash","jennifer warnes"
"4936","daryl hall","amanda marshall"
"4937","starship","carole king"
"4938","john waite","tracy chapman"
"4939","christopher cross","bruce springsteen"
"4940","sheena easton","billy joel"
"4941","ambrosia","carly simon"
"4942","wang chung","paul davis"
"4943","john waite","eric carmen"
"4944","rick springfield","peter cetera"
"4945","glass tiger","paul carrack"
"4946","steve perry","daryl hall"
"4947","the power station","starship"
"4948","lou gramm","john waite"
"4949","paul young","lou gramm"
"4950","kim carnes","sheena easton"
"4951","nik kershaw","ambrosia"
"4952","paul carrack","john parr"
"4953","johnny hates jazz","wang chung"
"4954","level 42","glenn frey"
"4955","the hooters","rick springfield"
"4956","don henley","richard marx"
"4957","chris de burgh","steve perry"
"4958","cock robin","the power station"
"4959","go west","lou gramm"
"4960","fine young cannibals","huey lewis & the news"
"4961","bruce hornsby","kim carnes"
"4962","glass tiger","nik kershaw"
"4963","crosby, stills & nash","cutting crew"
"4964","poco","paul carrack"
"4965","warren zevon","johnny hates jazz"
"4966","dan fogelberg","robert palmer"
"4967","gordon lightfoot","nik kershaw"
"4968","pure prairie league","level 42"
"4969","seals and crofts","the hooters"
"4970","boz scaggs","chris de burgh"
"4971","bruce hornsby","cock robin"
"4972","van morrison","go west"
"4973","jefferson starship","fine young cannibals"
"4974","christine mcvie","james taylor"
"4975","pete townshend","crosby, stills & nash"
"4976","warren zevon","poco"
"4977","don henley","warren zevon"
"4978","al stewart","pure prairie league"
"4979","traveling wilburys","firefall"
"4980","jeff lynne","dave mason"
"4981","julian lennon","boz scaggs"
"4982","boz scaggs","bruce hornsby"
"4983","todd rundgren","van morrison"
"4984","robert plant","jefferson starship"
"4985","pretenders","little river band"
"4986","mudcrutch","stephen stills"
"4987","lou gramm","christine mcvie"
"4988","john waite","pete townshend"
"4989","rick springfield","warren zevon"
"4990","quarterflash","glenn frey"
"4991","glass tiger","jackson browne"
"4992","eddie money","al stewart"
"4993","night ranger","jeff lynne"
"4994","starship","todd rundgren"
"4995","the babys","robert plant"
"4996","john parr","pretenders"
"4997","huey lewis & the news","mudcrutch"
"4998","gary wright","john waite"
"4999","atlanta rhythm section","quarterflash"
"5000","the babys","glass tiger"
"5001","the j. geils band","glenn frey"
"5002","joe walsh","cutting crew"
"5003","loverboy","night ranger"
"5004","three dog night","the babys"
"5005","paul davis","john parr"
"5006","bachman-turner overdrive","huey lewis & the news"
