"","Vertex1","Vertex2"
"608","pablo cruise","daryl hall & john oates"
"609","harry chapin","steve perry"
"610","jesse colin young","the romantics"
"611","orleans","38 special"
"612","atlanta rhythm section","kenny loggins"
"613","jefferson starship","robert palmer"
"614","boz scaggs","steve winwood"
"615","ambrosia","the j. geils band"
"616","crosby, stills & nash","billy squier"
"617","pure prairie league","fine young cannibals"
"618","jd souther","level 42"
"619","firefall","the power station"
"620","the ozark mountain daredevils","paul young"
"621","loggins & messina","mike + the mechanics"
"622","dave mason","mr. mister"
"623","jesse colin young","wang chung"
"624","atlanta rhythm section","steve winwood"
"625","jonathan edwards","johnny hates jazz"
"626","chris hillman","glenn frey"
"627","new riders of the purple sage","howard jones"
"628","jefferson starship","abc"
"629","dan fogelberg","the romantics"
"630","seals and crofts","joe jackson"
"631","pablo cruise","nik kershaw"
"632","orleans","don henley"
"633","bob welch","bryan ferry"
"634","crosby, stills & nash","thompson twins"
"635","little river band","rick springfield"
"636","rick springfield","corey hart"
"637","don henley","john parr"
"638","eddie money","lou gramm"
"639","loverboy","cutting crew"
"640","reo speedwagon","loverboy"
"641","glenn frey","rick springfield"
"642","pat benatar","steve perry"
"643","starship","john waite"
"644","daryl hall & john oates","honeymoon suite"
"645","steve perry","quarterflash"
"646","the romantics","red rider"
"647","38 special","platinum blonde"
"648","kenny loggins","starship"
"649","corey hart","glenn frey"
"650","robert palmer","wang chung"
"651","steve winwood","gowan"
"652","the cars","benjamin orr"
"653","the j. geils band","huey lewis & the news"
"654","billy squier","tom cochrane"
"655","fine young cannibals","pablo cruise"
"656","level 42","orleans"
"657","the power station","seals and crofts"
"658","paul young","gary wright"
"659","mike + the mechanics","bob welch"
"660","mr. mister","little river band"
"661","wang chung","ambrosia"
"662","steve winwood","pure prairie league"
"663","johnny hates jazz","poco"
"664","huey lewis & the news","paul davis"
"665","howard jones","the ozark mountain daredevils"
"666","abc","loggins & messina"
"667","the romantics","dan fogelberg"
"668","joe jackson","nicolette larson"
"669","nik kershaw","player"
"670","don henley","atlanta rhythm section"
"671","bryan ferry","stephen bishop"
"672","thompson twins","england dan & john ford coley"
"673","rick springfield","dave mason"
"674","corey hart","seals and crofts"
"675","john parr","firefall"
"676","lou gramm","loggins & messina"
"677","cutting crew","stephen bishop"
"678","mr. mister","paul davis"
"679","loverboy","orleans"
"680","rick springfield","pablo cruise"
"681","steve perry","england dan & john ford coley"
"682","john waite","little river band"
"683","honeymoon suite","art garfunkel"
"684","quarterflash","poco"
"685","red rider","david gates"
"686","platinum blonde","ambrosia"
"687","starship","harry chapin"
"688","glenn frey","jd souther"
"689","wang chung","bread"
"690","gowan","pure prairie league"
"691","benjamin orr","rita coolidge"
"692","huey lewis & the news","captain & tennille"
"693","tom cochrane","melissa manchester"
"694","pablo cruise","ambrosia"
"695","orleans","robbie dupree"
"696","seals and crofts","player"
"697","bob welch","stephen bishop"
"698","little river band","firefall"
"699","ambrosia","nicolette larson"
"700","pure prairie league","orleans"
"701","poco","bertie higgins"
"702","paul davis","bob welch"
"703","jefferson starship","christopher cross"
"704","the ozark mountain daredevils","little river band"
"705","loggins & messina","england dan & john ford coley"
"706","dan fogelberg","melissa manchester"
"707","nicolette larson","seals and crofts"
"708","player","captain & tennille"
"709","atlanta rhythm section","gary wright"
"710","stephen bishop","dan fogelberg"
"711","england dan & john ford coley","robert john"
"712","dave mason","david gates"
"713","seals and crofts","glenn frey"
"714","firefall","steve winwood"
"715","loggins & messina","eddie money"
